no,genre
0,アウトドア（マリンスポーツ・釣り・BBQ・登山・ハイキングなど）
1,エンタメ（ボウリング場・カラオケ・ゲームセンターなど）
2,スポーツ（ボルダリング・ゴルフ・サイクリング・ジム・ヨガなど）
3,観光（観光名所巡り・日帰り温泉・食べ歩きなど）
4,遊園地・動物園・水族館・海水浴場
5,友達との飲み会（外飲み・飲み歩きなど）
6,外での買い物（アウトレットなど）
7,ショー・展示・催し（映画館・ミュージカル・博物館・美術館など）
8,なし
